"Video Name","YouTube Training Video URLs","Sandbox URLs","Notes"
"Blogs - How to Find and Edit Content","https://www.youtube.com/watch?v=f_ZdYSdxDMY","/admin/content?title=&type=blog&status=All&langcode=All","Can be found under Content (after filtering for blog content). It could be placed at the root of /content to be able to find easier, and/or add individual links to each section. Given there are a number of tutorials, suggest linking to the existing playlist on YouTube and have one link - https://www.youtube.com/watch?v=--gW0zj4wEc&list=PL_QVggMcFfKZZlVzNcVaIWCl4WwcOr9Jk"
"Blogs - Creating Blog Content and Customizing Links to Blog Posts","https://www.youtube.com/watch?v=K4iK0TUxPS0","/node/add/blog
/admin/content",
"Blogs - Blog Paragraphs Components","https://www.youtube.com/watch?v=D4vzq664QLg","/admin/structure/paragraphs_type",
"Blogs - Anatomy","https://www.youtube.com/watch?v=PTZkgOb8CFE","/node/add/blog",
"Blogs - Overview","https://www.youtube.com/watch?v=--gW0zj4wEc&t=7s","/node/add/blog",
"OpenY: Taxonomy","https://www.youtube.com/watch?v=y9LPj0V6tt4","/admin/structure/taxonomy",
"OpenY: Logos","https://www.youtube.com/watch?v=lrGMihUyyDE","/admin/appearance/settings/openy_rose","This video is relevant to the OpenY Rose (default theme)"
"OpenY: Customizable theme","https://www.youtube.com/watch?v=wj5rsd_suqY","/admin/appearance/settings/openy_rose","Similar to above, related to Open Y Rose (default theme)"
"OpenY: Footer menu","https://www.youtube.com/watch?v=XMT92r5GydM","/admin/structure/menu","There are four footer menu topics; footer, center, left, right. Suggest the Help is at the root of /structure/menu NOTE there is already a playlist on YouTube for general customization and theme changes: https://www.youtube.com/watch?v=3--CzMz5DPk&list=PL_QVggMcFfKbcayynOt0pb_Uw7DAR7KIl"
"OpenY: Footer icons & copyright","https://www.youtube.com/watch?v=BZMDljgK9A8","/admin/structure/block/block-content","This is footer social icons and copyright. While it's easy enough to edit the blocks directly, help info could be placed either as a second link in /structure/menu above and/or here /admin/structure/block/block-content"
"OpenY: User Menu","https://www.youtube.com/watch?v=kcOKZVM-hzg","/admin/structure/menu/manage/account","My Account and Log Out menus"
"OpenY: Header Menu","https://www.youtube.com/watch?v=3--CzMz5DPk","/admin/structure/menu/manage/main",
"DrupalCon Baltimore 2017 - Open Y background, technology review, and upgrade path","https://www.youtube.com/watch?v=LV3MwaOt0rQ",,"Similar to Dr. Jeffrey Burns, Nathan Maehren video, more general information/marketing content. It does cover some technical installation and feature details but I suggest it doesn't need to be in the Admin as a Help topic.  "
"OpenY Development: Debugging JavaScript Behat tests","https://www.youtube.com/watch?v=RSsQLVVhldc",,"Behat tests could apply to any functional area and is configured outside of the Drupal Admin."
"Open Y - v1.0b Features Tour","https://www.youtube.com/watch?v=tXwbucW2TEQ",,"High level overview, rather than in-context admin help. "
,,,"Discuss with client for anything that is ""NA"" if there needs to be a general section that points people to setup or marketing or test (QA) related content. "
